record_id,company_name,source_url,source_text_path,mhlw_source_url,mhlw_text_path,association_text_path,verification_status
company-90b81456,リンケージサービス 株式会社,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300185%2C2+++++,data/raw/mhlw/detail-0018-01_ユ_300185.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300185%2C2+++++,data/raw/mhlw/detail-0018-01_ユ_300185.html,,mhlw_verified
company-e44a782b,株式会社 ヤマダイグループ,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300246%2C1+++++,data/raw/mhlw/detail-0019-01_ユ_300246.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300246%2C1+++++,data/raw/mhlw/detail-0019-01_ユ_300246.html,,mhlw_verified
company-58542413,株式会社 ヤマダイグループ,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300246%2C2+++++,data/raw/mhlw/detail-0020-01_ユ_300246.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300246%2C2+++++,data/raw/mhlw/detail-0020-01_ユ_300246.html,,mhlw_verified
company-90534e23,株式会社 プロサポート物流,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300259%2C1+++++,data/raw/mhlw/detail-0021-01_ユ_300259.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300259%2C1+++++,data/raw/mhlw/detail-0021-01_ユ_300259.html,,mhlw_verified
company-e3451244,株式会社 札総,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300273%2C1+++++,data/raw/mhlw/detail-0022-01_ユ_300273.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300273%2C1+++++,data/raw/mhlw/detail-0022-01_ユ_300273.html,,mhlw_verified
company-dd61c9e6,合同会社エム・アイ・エス札幌,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300319%2C1+++++,data/raw/mhlw/detail-0023-01_ユ_300319.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300319%2C1+++++,data/raw/mhlw/detail-0023-01_ユ_300319.html,,mhlw_verified
company-a77dfeed,株式会社 ＧＳＩ,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300333%2C1+++++,data/raw/mhlw/detail-0024-01_ユ_300333.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300333%2C1+++++,data/raw/mhlw/detail-0024-01_ユ_300333.html,,mhlw_verified
company-a883a512,株式会社ドルフィン,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300341%2C1+++++,data/raw/mhlw/detail-0025-01_ユ_300341.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300341%2C1+++++,data/raw/mhlw/detail-0025-01_ユ_300341.html,,mhlw_verified
company-54c52725,株式会社エス・エム・エスサポートサービス,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300356%2C1+++++,data/raw/mhlw/detail-0026-01_ユ_300356.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300356%2C1+++++,data/raw/mhlw/detail-0026-01_ユ_300356.html,,mhlw_verified
company-ef13f146,株式会社 ノースグリーン,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300357%2C1+++++,data/raw/mhlw/detail-0027-01_ユ_300357.html,https://jinzai.hellowork.mhlw.go.jp/JinzaiWeb/GICB102030.do?screenId=GICB102030&action=detail&detkey_Detail=01-%E3%83%A6-300357%2C1+++++,data/raw/mhlw/detail-0027-01_ユ_300357.html,,mhlw_verified
